SebinaNEXT 1.6,Statistica sui Servizi Interbibliotecari e Intersistemici,,,,,,
 ,,,,,,,
F2 BIBLIOTECA PENAZZATO,,,,,,,
Di Tillio Corrado,,,,,,,
,,,,,,,
,,,,,,,
Richieste IMMESSE,,,,,,,
Statistica a livello di Polo ,,,,,,,
Biblioteche partners: TUTTE,,,,,,,
Dal: 12/09/2022  al: 12/09/2022,,,,,,,
"Tipo movimento: Richiesta di prestito intersistemico, Richiesta di prestito interbibliotecario",,,,,,,
Stato: tutti,,,,,,,
Tipo utente: tutti,,,,,,,
Pagato: tutti,,,,,,,
Origine: Qualsiasi,,,,,,,
Categoria: Qualsiasi,,,,,,,
Tipo: Analitica,,,,,,,
Relative al Polo: TUTTI,,,,,,,
Relative alla Biblioteca: TUTTE,,,,,,,
 ,,,,,,,
RMBA1 - BIBLIOTECA EUROPEA,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBC1 - BIBLIOTECA TULLIO DE MAURO,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBG1 - BIBLIOTECA GIANNI RODARI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBL1 - BIBLIOTECA RAFFAELLO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBO2 - BIBLIOTECA ELSA MORANTE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,5,
,,,,,,,
,,,,,,,
RMBA3 - BIBLIOTECA ENZO TORTORA,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBO2 - BIBLIOTECA ELSA MORANTE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBQ2 - BIBLIOTECA RENATO NICOLINI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT2 - BIBLIOTECA CORNELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,3,
,,,,,,,
,,,,,,,
RMBB1 - BIBLIOTECA VILLA LEOPARDI,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBB3 - BIBLIOTECA FLAMINIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBC1 - BIBLIOTECA TULLIO DE MAURO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBH1 - BIBLIOTECA RUGANTINO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,3,
,,,,,,,
,,,,,,,
RMBB3 - BIBLIOTECA FLAMINIA,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA2 - PIM CENTRALE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBA3 - BIBLIOTECA ENZO TORTORA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBB1 - BIBLIOTECA VILLA LEOPARDI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBD1 - BIBLIOTECA ENNIO FLAIANO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBE2 - BIBLIOTECA ALDO FABRIZI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBF1 - BIBLIOTECA GOFFREDO MAMELI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBG1 - BIBLIOTECA GIANNI RODARI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBH1 - BIBLIOTECA RUGANTINO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBL1 - BIBLIOTECA RAFFAELLO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBO2 - BIBLIOTECA ELSA MORANTE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBQ1 - BIBLIOTECA GUGLIELMO MARCONI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT2 - BIBLIOTECA CORNELIA,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBU1 - BIBLIOTECA FRANCO BASAGLIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,16,
,,,,,,,
,,,,,,,
RMBC1 - BIBLIOTECA TULLIO DE MAURO,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBBR - BIBLIOTECA CENTRALE PER RAGAZZI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBF1 - BIBLIOTECA GOFFREDO MAMELI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBG1 - BIBLIOTECA GIANNI RODARI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBI1 - BIBLIOTECA NELSON MANDELA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBL1 - BIBLIOTECA RAFFAELLO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBO1 - BIBLIOTECA SANDRO ONOFRI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBO2 - BIBLIOTECA ELSA MORANTE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBU1 - BIBLIOTECA FRANCO BASAGLIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBWG - B. COSTANZO LICEO GIULIO CESARE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,10,
,,,,,,,
,,,,,,,
RMBD1 - BIBLIOTECA ENNIO FLAIANO,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBE2 - BIBLIOTECA ALDO FABRIZI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBH2 - BIBLIOTECA BORGHESIANA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT2 - BIBLIOTECA CORNELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,3,
,,,,,,,
,,,,,,,
RMBE1 - BIBLIOTECA VACCHERIA NARDI,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA3 - BIBLIOTECA ENZO TORTORA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBD1 - BIBLIOTECA ENNIO FLAIANO,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBR2 - BIBLIOTECA LONGHENA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT1 - BIBLIOTECA VALLE AURELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT2 - BIBLIOTECA CORNELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBU1 - BIBLIOTECA FRANCO BASAGLIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,8,
,,,,,,,
,,,,,,,
RMBE2 - BIBLIOTECA ALDO FABRIZI,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA1 - BIBLIOTECA EUROPEA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBA3 - BIBLIOTECA ENZO TORTORA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBE1 - BIBLIOTECA VACCHERIA NARDI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBF2 - BIBLIOTECA PENAZZATO,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBO2 - BIBLIOTECA ELSA MORANTE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,7,
,,,,,,,
,,,,,,,
RMBF1 - BIBLIOTECA GOFFREDO MAMELI,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA1 - BIBLIOTECA EUROPEA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBB3 - BIBLIOTECA FLAMINIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBBR - BIBLIOTECA CENTRALE PER RAGAZZI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBE2 - BIBLIOTECA ALDO FABRIZI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBH3 - COLLINA DELLA PACE,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBO1 - BIBLIOTECA SANDRO ONOFRI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBO2 - BIBLIOTECA ELSA MORANTE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT1 - BIBLIOTECA VALLE AURELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBU1 - BIBLIOTECA FRANCO BASAGLIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBU2 - BIBLIOTECA CASA DEL PARCO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,12,
,,,,,,,
,,,,,,,
RMBF2 - BIBLIOTECA PENAZZATO,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBB1 - BIBLIOTECA VILLA LEOPARDI,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBR1 - BIBLIOTECA COLLI PORTUENSI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT1 - BIBLIOTECA VALLE AURELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBT2 - BIBLIOTECA CORNELIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,6,
,,,,,,,
,,,,,,,
RMBG1 - BIBLIOTECA GIANNI RODARI,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA1 - BIBLIOTECA EUROPEA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,1,
,,,,,,,
,,,,,,,
RMBH1 - BIBLIOTECA RUGANTINO,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,1,
,,,,,,,
,,,,,,,
RMBH2 - BIBLIOTECA BORGHESIANA,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA1 - BIBLIOTECA EUROPEA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,1,
,,,,,,,
,,,,,,,
RMBH3 - COLLINA DELLA PACE,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBG1 - BIBLIOTECA GIANNI RODARI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
,,,,,,1,
,,,,,,,
,,,,,,,
RMBI1 - BIBLIOTECA NELSON MANDELA,,,,,,,
Biblioteca,Tipo utente,Richiesta di prestito intersistemico,Richiesta di prestito interbibliotecario,Totale per tipo utente,Totale per biblioteca,Totale,
RMBA2 - PIM CENTRALE,,,,,,,
,Tipo utente extra polo,2,NaN,2,,,
,,,,,2,,
RMBB1 - BIBLIOTECA VILLA LEOPARDI,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBD1 - BIBLIOTECA ENNIO FLAIANO,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBU1 - BIBLIOTECA FRANCO BASAGLIA,,,,,,,
,Tipo utente extra polo,1,NaN,1,,,
,,,,,1,,
RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,,,,,,,
,Tipo utente extra polo,3,NaN,3,,,
,,,,,3,,
,,,,,,8,
